"id_contrato","nome_contrato","objeto_contrato","valor_contrato","inicio_vigencia","termino_vigencia","fk_empresa_contratada"
"1","13/2012","Contratação de Empresa para Ministrar Curso de Inglês","94947.23","4","32","1"
"2","Disp. Lic. 1","Prestação de serviço na confecção de Chaves","5234.00","13","33","2"
"3","Disp. Lic. 2","Prestação de serviço na confecção de Carimbos","1800.00","10","33","3"
"4","32/2014","Serviço de Telefônia Móvel","73915.08","6","33","4"
"5","001/2014","Publicações no Diário Oficial da União","45000.00","8","35","5"
"6","002/2014","Prestação de serviço de Copeiragem","385986.11","9","36","6"
"7","003/2012","Manutenção Preventiva e Evolutiva Próton","47493.72","11","39","7"
"8","001/2015","Bilhetes de passagens aéreas, reservas, emissão e renovação","380574.23","12","41","8"
"9","42064","Apoio administrativo 1 e 2","2043582.72","14","43","9"
"10","Disp. Lic. 3","Assinatura do Jornal O Globo","1248.00","15","45","10"
"11","41548","Serviços de transporte terrestre de pessoas, por demanda em São Paulo- SP","214875.00","16","47","11"
"12","008/2014","Publicações Legais","25000.00","17","49","12"
"13","002/2015","Prestação de serviço de locação em tempo integral e eventual de veículos e condutores","523475.89","18","50","13"
"14","009/2013","Prestação pela ECT de Serviços e Vendas de Produtos – ECT","188895.16","19","52","14"
"15","004/2015","Tradução e versão de textos, degravação e tradução/ interpretação simultânea","17601.56","20","54","15"
"16","Disp. Lic. 4","Assinatura do Jornal Folha de São Paulo","2073.00","1","57","16"
"17","19/2013"," Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.","1314444.09","23","59","17"
"18","005/2015","Contratação de Estagiários","6847.68","24","61","18"
"19","006/2015","Manutenção Preventiva e corretiva dos elevadores do Bloco A-","10990.00","25","62","19"
"20","021/2014","Manutenção de Copiadoras","37680.00","25","62","20"
"21","Disp. Lic. 5","Assinatura do Jornal O Vale","336.00","2","64","21"
"22","40848","Serviços Gráficos","816053.75","26","65","22"
"23","42217","Aquisição e instalação de pisos e revestimentos","129563.50","27","67","23"
"24","23/2013","Serviço telefônico de longa distância nacional e internacional para aparelhos móveis funcionais","44837.30","28","68","24"
"25","27/2013","Exames Médicos Periódicos","26499.90","30","70","25"
"26","Disp. Lic. 6","Assinatura do Jornal Estado de São Paulo","358.80","31","71","26"
"27","Disp.Lic. 7","Assinatura do Jornal Correio Braziliense","1220.00","7","73","27"
"28","Disp. Lic. 8","Assinatura da Revista  Época","514.80","22","89","28"
"29","Disp. Lic. 9","Assinatura de Jornais e Revistas – Veja","713.80","21","91","29"
"30","29/2014","Aquisição de Licenças de Anti-Vírus","78550.00","3","102","30"
"31","Disp. Lic. 10","Assinatura da Revista Isto É","1281.00","5","106","31"
"32","009/2015","Aluguel de Container","24999.98","29","69","32"
"33","27/2013","Exames Médicos Periódicos","26499.90","30","70","25"
"34","Disp. Lic. 11","Assinatura do Jornal Estado de São Paulo","358.80","31","71","26"
"35","Disp. Lic. 12","Prestação de serviço na confecção de Carimbos","1972.00","35","72","3"
"36","Disp. Lic. 13","Prestação de serviço na confecção de Chaves","5324.00","34","72","2"
"37","Disp.Lic. 14","Assinatura do Jornal Correio Braziliense","1220.00","7","73","27"
"38","001/2014","Publicações no Diário Oficial da União","45000.00","36","75","5"
"39","002/2014","Prestação de serviço de Copeiragem","416408.28","37","76","6"
"40","003/2012","Manutenção Preventiva e Evolutiva Próton","52849.20","40","78","7"
"41","003/2016","Empresa para Ministrar Curso de Inglês","92000.00","42","79","1"
"42","001/2015","Bilhetes de passagens aéreas, reservas, emissão e renovação","386765.62","42","79","8"
"43","Disp. Lic. 15","Assinatura do Jornal O Globo","358.00","46","81","10"
"44","42064","Apoio administrativo 1 e 2","2231331.32","44","80","9"
"45","41548","Serviços de transporte terrestre de pessoas, por demanda em São Paulo- SP","214875.00","48","82","11"
"46","008/2014","Publicações Legais","25000.00","50","83","12"
"47","002/2015","Prestação de serviço de locação em tempo integral e eventual de veículos e condutores","399409.02","51","84","13"
"48","009/2013","Prestação pela ECT de Serviços e Vendas de Produtos – ECT","188895.16","53","85","14"
"49","004/2015","Tradução e versão de textos, degravação e tradução/ interpretação simultânea","17601.56","55","86","15"
"50","004/16","Serviços de Telefonia Móvel (Celulares)","67461.00","56","87","4"
"51","Disp. Lic.  16","Assinatura da Revista  Época","514.80","22","89","28"
"52","Disp. Lic. 17","Assinatura de Jornais e Revistas – Veja","713.80","21","91","29"
"53","Disp. Lic. 18","Assinatura do Jornal Folha de São Paulo","358.80","58","92","16"
"54","19/2013"," Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.","1396202.51","23","60","17"
"55","005/2015","Contratação de Estagiários","6847.68","61","96","18"
"56","006/2015","Manutenção Preventiva e corretiva dos elevadores do Bloco A-","10990.06","62","97","19"
"57","021/2014","Manutenção de Copiadoras","37680.00","63","254","20"
"58","006/2016","Transporto Rodoviário de Carga","282551.71","66","99","33"
"59","29/2014","Aquisição de Licenças de Anti-Vírus","78550.00","3","103","30"
"60","Disp. Lic. 19","Assinatura da Revista Isto É","1281.00","5","107","31"
"61","Disp. Lic. 20","Aquisição de Solução de Firewall","85446.00","38","147","34"
"62","Disp. Lic. 21","Prestação de serviço na confecção de Carimbos","1665.00","74","108","3"
"63","Disp. Lic. 22","Assinatura do Jornal Correio Braziliense","604.20","77","111","27"
"64","001/2014","Publicações no Diário Oficial da União","45000.00","75","112","5"
"65","002/2014","Prestação de serviço de Copeiragem","408635.52","76","113","6"
"66","001/2017","Empresa para Ministrar Curso de Inglês","215000.00","79","116","1"
"67","001/2015","Bilhetes de passagens aéreas, reservas, emissão e renovação","386765.62","79","116","8"
"68","42064","Apoio administrativo 1 e 2","2252983.16","80","117","9"
"69","002/2015","Prestação de serviço de locação em tempo integral e eventual de veículos e condutores","291192.00","83","119","13"
"70","008/2014","Publicações Legais","25000.00","83","119","12"
"71","009/2013","Prestação pela ECT de Serviços e Vendas de Produtos – ECT","188895.16","85","120","14"
"72","004/16","Serviços de Telefonia Móvel (Celulares)","67461.00","87","121","4"
"73","Disp. Lic. 23","Assinatura da Revista  Época","358.80","90","122","28"
"74","Disp. Lic. 24","Assinatura do Jornal Folha de São Paulo","358.80","93","123","16"
"75","Disp. Lic. 25","Assinatura do Jornal O Globo","358.00","94","124","10"
"76","19/2013"," Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.","1567853.24","95","127","17"
"77","005/2015","Contratação de Estagiários","6847.68","96","129","18"
"78","006/2015","Manutenção Preventiva e corretiva dos elevadores do Bloco A-","10990.06","97","130","19"
"79","021/2014","Manutenção de Copiadoras","37680.00","98","131","20"
"80","005/2016","Transporto Rodoviário de Carga","291056.51","99","134","33"
"81","42856","Aquisição de solução de energia - nobreak","132991.50","100","135","35"
"82","009/2015","Aluguel de Container","24999.98","104","137","32"
"83","Disp. Lic. 26","Prestação de serviço na confecção de Chaves","4094.00","109","142","2"
"84","Disp. Lic. 27","Assinatura do Jornal Estado de São Paulo","356.72","105","139","26"
"85","Disp. Lic. 28","Aquisição de Solução de Firewall","85446.00","38","147","34"
"86","Disp. Lic. 29","Assinatura de Jornais e Revistas – Veja","1248.00","88","161","29"
"87","Disp. Lic. 30","Assinatura da Revista Isto É","1281.00","101","219","31"
"88","Disp. Lic. 31","Prestação de serviço na confecção de Chaves","4094.00","109","142","2"
"89","Disp. Lic. 32","Prestação de serviço na confecção de Carimbos","1015.00","110","142","3"
"90","Disp. Lic. 33","Assinatura do Jornal Correio Braziliense","389.22","115","144","27"
"91","001/2014","Publicações no Diário Oficial da União","45000.00","112","145","5"
"92","002/2014","Prestação de serviço de Copeiragem","433021.38","113","146","6"
"93","001/2017","Empresa para Ministrar Curso de Inglês","215000.00","114","148","1"
"94","001/2015","Bilhetes de passagens aéreas, reservas, emissão e renovação","386765.62","116","149","8"
"95","42064","Apoio administrativo 1 e 2","2360465.16","117","151","9"
"96","006/2018","Aquisição de solução de e-mail","61112.56","118","153","36"
"97","002/2015","Prestação de serviço de locação em tempo integral e eventual de veículos e condutores","313773.55","119","154","13"
"98","008/2014","Publicações Legais","25000.00","119","154","12"
"99","007/2018","Prestação pela ECT de Serviços e Vendas de Produtos – ECT","25000.00","120","156","14"
"100","004/16","Serviços de Telefonia Móvel (Celulares)","67461.00","157","157","4"
"101","Disp. Lic. 34","Assinatura da Revista  Época","418.80","160","159","28"
"102","Disp. Lic. 35","Assinatura de Jornais e Revistas – Veja","1248.00","88","161","29"
"103","Disp. Lic. 36","Assinatura do Jornal O Globo","358.80","125","162","10"
"104","008/2018","Serviços de impressão gráfica e diagramação","957981.00","126","165","22"
"105","009/2018"," Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.","1913251.94","128","166","17"
"106","005/2015","Contratação de Estagiários","6955.18","129","167","18"
"107","006/2015","Manutenção Preventiva e corretiva dos elevadores do Bloco A-","11482.80","130","168","19"
"108","021/2014","Manutenção de Copiadoras","37680.00","131","169","20"
"109","14/2018","Data Center","2885890.00","132","170","37"
"110","15/2018","Prestação de Serviços de Remanejamento de Divisórias","261620.00","133","172","38"
"111","005/2016","Transporto Rodoviário de Carga","306540.71","134","173","33"
"112","Disp. Lic. 37","Assinatura do Jornal Folha de São Paulo","358.80","136","178","16"
"113","Disp. Lic. 38","Assinatura do Jornal Estado de São Paulo","356.72","140","182","26"
"114","25/2018","Contratção de empresa de vigilância","908177.28","141","183","39"
"115","Disp. Lic. 39","Assinatura da Revista Isto É","1281.00","101","219","31"
"116","24/2018","Solução de comunicação de Voz sobre IP","613257.00","138","162","40"
"117","001/2017","Empresa para Ministrar Curso de Inglês","105000.00","148","187","1"
"118","42064","Apoio administrativo I e II","2444445.49","150","190","9"
"119","43525","Prestação de Serviço de Copeiragem","397831.77","152","191","41"
"120","008/2019","Bilhetes de passagens aéreas, reservas, emissão e renovação","398837.93","171","192","42"
"121","002/2019","Publicações Legais","17000.00","155","195","12"
"122","007/2018","Prestação pela ECT de Serviços e Vendas de Produtos – ECT","25000.00","156","196","14"
"123","001/2019","Publicações no Diário Oficial da União","54000.00","143","253","5"
"124","004/16","Serviços de Telefonia Móvel (Celulares)","67461.00","157","197","4"
"125","Disp. Lic. 40","Assinatura da Revista  Época","454.80","160","198","28"
"126","05/2019.","Contratação de fornecedor de óleo diesel para abastecimento dos geradores de energia","11097.00","160","198","43"
"127","007/2019","Serviços de engenharia e arquitetura para a elaboração de projetos de reforma e ampliação","323572.52","164","203","44"
"128","008/2018","Serviços de impressão gráfica e diagramação","957981.00","165","204","22"
"129","005/2015","Contratação de Estagiários","7401.01","167","210","18"
"130","Disp. Lic. 41","Assinatura do Jornal O Globo","358.80","163","201","10"
"131","009/2018"," Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.","2063698.28","166","209","17"
"132","006/2015","Manutenção Preventiva e corretiva dos elevadores do Bloco A-","10990.06","168","213","19"
"133","005/2016","Transporte Rodoviário de Carga","321469.24","173","215","33"
"134","009/2019","Tranporte terrestre de servidores (TáxiGov)","95807.30","175","217","46"
"135","Disp. Lic. 42","Locação de Veículo","14950.00","250","251","47"
"136","Disp. Lic. 43","Aquisição de Gasolina","4246.00","249","252","43"
"137","Disp. Lic. 44","Assinatura da Revista Isto É","1281.00","101","219","31"
"138","0010/2019","Solução de Back Up","1522056.00","177","220","48"
"139","Disp. Lic. 45","Solução de Controle de Ponto","8802.60","180","223","49"
"140","Inexigibilidade 1","Assinatura do Jornal Folha de São Paulo","358.80","179","221","16"
"141","25/2018","Contratção de empresa de vigilância","328350.00","183","225","39"
"142","Disp. Lic. 46","Assinatura do Jornal Estado de São Paulo","356.72","182","224","26"
"143","Disp. Lic. 47","Prestação de serviço na confecção de Chaves","4740.00","184","226","2"
"144","Disp. Lic. 48","Prestação de serviço na confecção de Carimbos","1225.00","184","226","3"
"145","011/2019","Contratação de serviços de Secretariado Executivo/Bilingue","1857058.94","185","227","50"
"146","012/2019","Contratação de serviços de Apoio Administrativo","5302511.16","186","228","51"
"147","Disp. Lic. 49","Assinatura do Jornal Correio Braziliense","389.22","188","229","27"
"148","Disp. Lic. 50","Assinatura de Jornais e Revistas – Veja","1455.84","158","236","52"
"149","005/2016","Transporte Rodoviário de Carga","321469.24","173","215","33"
"150","009/2019","Transporte terrestre de servidores (TáxiGov)","95807.30","176","218","46"
"151","Disp. Lic. 51","Assinatura da Revista Isto É","1281.00","101","219","53"
"152","0010/2019","Solução de Back Up","1522056.00","177","220","48"
"153","Disp. Lic. 52","Solução de Controle de Ponto","8802.60","180","223","49"
"154","Inexigibilidade 2","Assinatura do Jornal Folha de São Paulo","358.80","179","221","16"
"155","Disp. Lic. 53","Assinatura do Jornal O Globo","358.80","163","222","28"
"156","25/2018","Contratação de empresa de vigilância","338910.24","183","225","39"
"157","Disp. Lic. 54","Assinatura do Jornal Estado de São Paulo","356.72","182","224","26"
"158","Disp. Lic. 55","Prestação de serviço na confecção de Chaves","4740.00","184","226","2"
"159","Disp. Lic. 56","Prestação de serviço na confecção de Carimbos","1225.00","184","226","3"
"160","Disp. Licic. 57","Fornecimento de água mineral natural ou potável","17550.00","191","226","54"
"161","011/2019","Contratação de serviços de Secretariado Executivo/Bilingue","1857058.94","185","227","50"
"162","012/2019","Contratação de serviços de Apoio Administrativo","5552088.60","186","228","51"
"163","Disp. Lic. 58","Assinatura do Jornal Correio Braziliense","389.22","188","229","27"
"164","002/2020","Locação de veículo de representação, com fornecimento de combustível e motorista","149300.00","189","230","55"
"165","004/2020","Agenciamento de viagens","1500056.82","193","231","56"
"166","005/2020","Serviços de engenharia","32870.86","194","232","57"
"167","002/2019","Publicações Legais","17000.00","195","233","12"
"168","004/16","Serviços de Telefonia Móvel (Celulares)","62780.60","197","235","4"
"169","007/2018","Prestação pela ECT de Serviços e Vendas de Produtos – ECT","25000.00","196","234","14"
"170","Disp. Lic. 59","Assinatura de Jornais e Revistas – Veja","1455.84","158","236","52"
"171","Inexigibilidade 3","Assinatura da harvard Business Review Brasil","524.00","199","237","58"
"172","007/2020","Serviço DaaS (Dados como Serviço)","338815.92","200","238","59"
"173","008/2020","Contratação de licenças com suporte e atualização da ferramenta Microsoft Power BI Pro","22087.24","200","238","60"
"174","008/2018","Serviços de impressão gráfica e diagramação","718485.75","204","240","22"
"175","Disp. Inex. 60","Assinatura da Revista  Época","454.80","206","206","28"
"176","Disp. Lic. 61","Assinatura de banco de imagens, vídeo e trilha sonora ","34950.00","202","239","61"
"177","Disp. Lic. 62","Gestão e Avaliação de Desempenho","17592.00","205","241","62"
"178","15/2020","Contratação de Estagiários","20160.00","211","245","63"
"179","11/2020","Aquisição de materiais de consumo","68227.80","207","242","64"
"180","13/2020","Contratação de serviços ofertados pelo SESI/Sistema FIBRA","134211.84","208","243","65"
"181","009/2018"," Serviços de Suporte Tecnológico ao Ambiente de TI da AEB.","2107768.42","209","244","17"
"182","16/2020","Aquisição e Instalação de divisórias","5541773.00","212","246","66"
"183","18/2020","Manutenção Preventiva e corretiva dos elevadores do Bloco A-","9600.00","213","247","67"
"184","20/2020","Contratação de Serviço comum de engenharia","102600.00","214","248","68"
